id,complete,utilisation_ia,outils_utilises_chatgpt,outils_utilises_copilot,outils_utilises_gemini,outils_utilises_deepseek,outils_utilises_grok,outils_utilises_claude,outils_utilises_autre,ia_favorite,ia_favorite_autre,taches_ia_redaction,taches_ia_recherche,taches_ia_traduction,taches_ia_programmation,taches_ia_presentation,taches_ia_analyse_donnees,taches_ia_brainstorming,taches_ia_planification,taches_ia_revision,taches_ia_cv_lettre,taches_ia_entretien,taches_ia_creation_media,taches_ia_autre,impact_ia_performance,pret_payer_ia_si_efficace,pret_payer_30e_ia,pret_payer_50e_ia,pret_payer_15e_ia,pret_payer_100e_ia,pret_payer_40e_ia,pret_payer_20e_ia,pret_payer_5e_ia,dependance_ia,confiance_ia,accord_ia_decision,partage_infos_confidentielles_ia,importance_origine_ia,verification_infos_ia,reaction_nouveautes_ia,ia_menace_travail,impact_ia_emploi,impact_ia_enseignement,attentes_futures_ia,age,genre,domaine_etudes,domaine_etudes_autre,statut_etudiant,diplome_en_cours,diplome_plus_eleve,temps_total,duree_frequence_utilisation_ia,duree_confiance_ia,duree_perspective_ia,duree_info_personnel
1,4.0,2.0,Y,Y,N,N,N,N,,OpenAI ChatGPT,,Y,Y,N,N,N,N,Y,N,N,N,N,N,,,N,N,,Y,,,N,,0.0,6.0,1.0,"Oui, avec méfiance",Y,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",N,Elle ouvrira de nouvelles opportunités professionnelles.,Largement,,40-60 ans,Masculin,Sciences et ingénierie.,,N,,3.0,302.8,118.8,85.98,59.73,38.29
2,4.0,3.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,N,Y,Y,N,N,N,N,Y,N,Y,N,N,,,Y,Y,N,,,N,,,1.0,8.0,1.0,"Non, pas d'accord",N,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,Y,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,.,30-40 ans.,Masculin,Médecine et santé.,,N,,3.0,859.58,421.68,216.14,167.95,53.81
3,4.0,1.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,N,N,Y,N,N,N,N,N,Y,Y,Y,N,,,Y,N,,N,,,,Y,2.0,6.0,3.0,"Oui, avec méfiance",Y,1.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,,25-30 ans.,Masculin,"Arts, lettres et sciences humaines.",,N,,3.0,1591.91,313.03,1044.14,102.5,132.24
4,4.0,2.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,Y,Y,Y,N,N,N,N,N,N,Y,N,N,,,N,N,,N,,,,Y,2.0,5.0,1.0,"Oui, sans problème",N,2.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,Elle remplacera de nombreux emplois.,Radicalement,Donner un degré de confiance dans les réponses apportées,40-60 ans,Masculin,Économie et gestion.,,N,,3.0,326.23,99.94,72.52,90.89,62.88
5,4.0,2.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,Y,Y,Y,N,N,N,N,N,N,N,N,N,,,Y,Y,N,,,N,,,1.0,5.0,1.0,"Non, jamais",Y,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,,18-25 ans.,Autre,Économie et gestion.,,Y,3.0,2.0,287.32,72.86,70.94,24.01,119.51
6,4.0,3.0,Y,Y,Y,Y,Y,Y,,OpenAI ChatGPT,,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,,N,,,,2.0,6.0,1.0,"Non, pas d'accord",Y,0.0,"J’aime être parmi les premiers à essayer ces innovations, même s'il y a des risques potentiels.",N,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,,25-30 ans.,Féminin,Économie et gestion.,,Y,3.0,3.0,297.47,123.14,104.99,35.61,33.73
7,4.0,1.0,Y,N,Y,N,N,N,,OpenAI ChatGPT,,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,,,Y,Y,N,,,N,,,2.0,8.0,3.0,"Oui, avec méfiance",N,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,Y,Elle aidera les travailleurs plutôt que de les remplacer.,Légèrement,,25-30 ans.,Masculin,Économie et gestion.,,Y,3.0,3.0,980.68,650.23,151.99,92.14,86.32
8,4.0,1.0,Y,N,Y,N,N,N,,OpenAI ChatGPT,,N,N,N,N,N,N,Y,N,N,Y,Y,Y,,,Y,N,,Y,,,Y,,1.0,7.0,1.0,"Oui, sans problème",N,0.0,"Je suis curieux(se) et prêt(e) à l'essayer rapidement, mais avec prudence.",N,"Elle supprimera certains postes, mais seulement dans certains secteurs.",Largement,,25-30 ans.,Féminin,Économie et gestion.,,Y,3.0,3.0,434.52,138.05,136.75,95.24,64.48
9,4.0,3.0,Y,N,N,Y,N,Y,,OpenAI ChatGPT,,N,Y,N,Y,N,N,Y,N,N,N,N,N,,,Y,N,,Y,,,Y,,1.0,7.0,2.0,"Non, pas d'accord",N,0.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,Elle ouvrira de nouvelles opportunités professionnelles.,Largement,,40-60 ans,Masculin,Sciences et ingénierie.,,N,,3.0,713.55,461.44,100.79,93.24,58.08
10,4.0,2.0,Y,N,N,N,N,N,,OpenAI ChatGPT,,Y,N,N,N,Y,N,N,N,N,Y,Y,N,,,Y,Y,Y,,Y,,,,0.0,7.0,2.0,"Oui, sans problème",Y,3.0,Je préfère attendre que d'autres testent avant d'utiliser.,N,Elle aidera les travailleurs plutôt que de les remplacer.,Largement,Aider à fabriquer,25-30 ans.,Masculin,Autre,Commerce,Y,2.0,3.0,468.1,130.25,96.43,79.1,162.32
